hw_sg, hw_of, hw_ow, hw_sfs, hw_sgf, wr_sg, wr_of, wr_ow, wr_sfs, wr_sgf
2514,3226,3328,3350,2527,3046,4123,3574,3420,3136
2525,3229,3337,3351,2553,3128,4419,3574,3423,3169
2536,3231,3364,3351,2561,3187,4421,3590,3426,3222
2557,3233,3372,3352,2569,3190,4425,3910,3428,3246
2559,3262,3384,3362,2574,3206,4431,3922,3440,3264
2560,3265,3397,3362,2576,3217,4435,3930,3443,3270
2561,3265,3398,3364,2580,3331,4443,3933,3444,3372
2578,3272,3400,3368,2617,3444,4444,3936,3444,3446
2653,3330,3402,3370,2651,3452,4446,3939,3636,3451
2657,3349,3403,3373,2710,3462,4447,3943,3639,3465
2691,3356,3404,3381,2722,3471,4449,3943,3640,3474
2716,3363,3414,3391,2732,3587,4449,3946,3643,3594
2727,3371,3415,3400,2760,3647,4450,3947,3643,3656
2741,3406,3415,3401,2896,3673,4451,3948,3653,3673
2894,3413,3433,3413,2914,3683,4452,3950,3654,3681
2896,3530,3456,3425,2940,3850,4453,3952,3654,3859
2945,3537,3476,3429,2954,4072,4471,3970,3659,4111
2995,3585,3479,3429,3023,25416,5582,6085,6075,6066
3021,3592,3480,3430,3025,25421,5585,6103,6084,6070
3031,3595,3511,3440,3033,25444,5587,6105,6104,6086
3031,3596,3518,3517,3064,25458,5597,6107,6112,6105
3032,3598,3523,3519,3070,25460,5602,6111,6114,6114
3078,3615,3566,3568,3078,25461,5606,6112,6114,6114
3083,3630,3572,3577,3080,25469,5608,6112,6116,6118
3085,3642,3575,3587,3090,25476,5615,6113,6117,6129
3088,3652,3575,3590,3097,25489,5623,6115,6118,6131
3095,3654,3579,3591,3127,25496,5623,6115,6129,6131
3165,3655,3581,3592,3207,25521,5625,6118,6132,6132
3263,3656,3587,3596,3266,25533,5625,6121,6135,6150
3264,3656,3596,3597,3283,25537,5626,6122,6136,6163
3323,3676,3639,3601,3307,25540,5629,6124,6138,6170
3348,3782,3672,3822,3407,25543,5630,6124,6139,6177
3404,3783,3844,3824,3428,25551,5631,6125,6139,6178
3448,3785,3855,3829,3430,25554,5631,6125,6140,6179
3448,3790,3857,3830,3436,25576,5634,6126,6147,6180
3454,3792,3860,3835,3451,25580,5640,6128,6147,6184
3457,3796,3862,3839,3559,25588,5654,6130,6148,6186
3582,3796,3862,3840,3559,25595,5656,6132,6149,6186
3584,3799,3870,3858,3564,25599,5699,6134,6157,6190
3645,3807,3875,3865,3568,25601,6055,6135,6158,6190
3666,3807,3876,3866,3573,25603,6079,6141,6159,6214
3723,3814,3877,3878,3584,25605,6082,6144,6160,6216
3790,3820,3936,3879,3588,25606,6102,6145,6167,6231
3794,3821,3941,3889,3597,25609,6103,6148,6169,6247
3805,3833,3949,3915,3603,25613,6106,6149,6170,6253
3814,3834,3957,3917,3628,25617,6107,6151,6171,6253
3825,3844,3957,3918,3724,25619,6111,6154,6172,6258
3825,3851,4127,4128,3815,25619,6112,6154,6183,6259
3902,4036,4135,4130,3818,25626,6118,6159,6188,6267
3905,4039,4157,4141,3821,25629,6122,6162,6189,6271
4091,4043,4423,4440,3842,25630,6124,6163,6220,6271
4272,4045,4438,4442,3844,25638,6124,6167,6222,6271
4390,4059,4442,4444,3845,25640,6124,6196,6232,6290
4395,4065,4445,4447,3878,25644,6125,6580,6572,6590
4397,4067,4459,4448,3906,25645,6126,6586,6588,6594
4400,4068,4508,4486,3921,25648,6127,6586,6596,6598
4402,4406,4520,4490,4090,25649,6129,6588,6604,6602
4414,4412,4522,4497,4292,25662,6132,6593,6606,6606
4589,4415,4525,4498,4401,25663,6133,6598,6609,6611
4734,4417,4529,4498,4408,25671,6133,6601,6618,6617
5108,4421,4863,4874,4409,25746,6147,6606,6622,6618
13792,4567,4866,4880,4411,25749,6147,6607,6624,6619
14293,4584,4872,4884,4411,25751,6185,6607,6626,6621
14322,4615,4876,4888,4415,25754,6563,6608,6628,6622
14330,4622,4881,4889,4615,25772,6579,6613,6628,6624
14405,4632,4902,4894,4732,25842,6587,6614,6629,6625
14426,4717,4948,4936,4873,25855,6589,6615,6629,6626
21253,4726,4952,4938,4887,25857,6595,6616,6631,6629
21316,4736,4953,4939,4889,25898,6599,6616,6633,6630
21317,4747,4955,4941,4900,25912,6608,6617,6634,6630
21327,4748,4958,4941,4915,25916,6608,6620,6635,6632
21341,4763,4960,4941,4935,25917,6609,6621,6635,6632
21348,4770,4962,4944,5093,25920,6620,6621,6636,6633
21349,4923,5082,5130,5102,25921,6621,6622,6638,6633
21356,5112,5112,5144,5107,25925,6622,6622,6639,6637
21361,5737,5112,5149,5109,25926,6623,6623,6641,6640
21365,5746,5115,5150,5110,25928,6624,6624,6642,6641
21365,5747,5115,5152,5202,25930,6625,6624,6642,6641
21367,5749,5398,5399,5363,25933,6627,6626,6644,6642
21368,5757,5406,5409,5377,25938,6627,6627,6644,6643
21372,5763,5408,5412,5394,25938,6632,6628,6645,6645
21372,5773,5413,5413,5395,25939,6634,6628,6645,6649
21374,5790,5415,5416,5396,25940,6641,6629,6648,6651
21377,5793,5417,5419,5399,25940,6642,6629,6648,6656
21383,5802,5420,5421,5400,25951,6644,6629,6649,6660
21395,5804,5422,5422,5401,25952,6725,6630,6650,6665
21677,5805,5424,5422,5401,25956,6728,6630,6650,6667
21684,5812,5429,5423,5406,25956,6730,6631,6651,6668
21690,5826,5430,5423,5409,25958,6731,6633,6651,6671
21691,5842,5431,5425,5414,25962,7047,6635,6651,6671
21712,5852,5434,5425,5417,25969,7055,6635,6653,6676
21748,6699,5441,5427,5418,25971,7095,6636,6654,6678
21752,6710,5443,5428,5419,25981,7106,6637,6655,6681
21755,6715,5444,5429,5423,25984,7114,6638,6655,6682
21764,6733,5447,5429,5425,25991,7123,6639,6660,6683
21783,6740,5450,5432,5429,25993,7137,6640,6660,6695
21783,6747,5450,5433,5430,25996,7138,6640,6663,6696
21784,6751,5451,5434,5430,25997,7143,6642,6664,6703
21793,7291,5454,5441,5437,26001,7148,6643,6664,6708
21797,7325,5454,5443,5438,26007,7150,6644,6666,6710
21812,7330,5455,5449,5452,26009,7151,6645,6667,6715
21814,7345,5457,5514,5520,26020,7245,6646,6668,6718
21819,7346,5660,5686,5686,26027,7248,6647,6674,6720
21820,7356,5669,5696,5697,26037,7551,6647,6674,6720
21820,7359,5688,5710,5703,26038,7604,6649,6675,6722
21822,7494,5697,5732,5703,26048,7607,6650,6676,6744
21825,7500,5700,5734,5705,26053,7619,6650,6678,6747
21831,7818,5702,5736,5707,26072,7623,6650,6679,6748
21832,7826,5706,5745,5709,26072,7625,6656,6684,6749
21834,7830,5720,5751,5712,26083,7629,6657,6686,6754
21863,7832,5730,5761,5715,26086,7635,6659,6689,6757
21868,7839,5733,5761,5716,26136,7648,6660,6690,6765
21876,7849,5739,5761,5717,26319,7659,6665,6692,6769
21877,7856,5743,5763,5722,26326,7661,6675,6695,6771
21955,7858,5755,5771,5727,26331,7664,6677,6699,6772
21976,7928,5757,5817,5729,26337,7673,6706,6702,6775
